Participant Number ,WEAR – I think my peers would find this device acceptable to wear.,WEAR – The size of this device is conveniently small.,WEAR – This device is like the clothing and accessories typically worn in our society.,WEAR – This device looks natural and not out of place on the body.,WEAR – This device could make people uncomfortable.,WEAR – This device seems to be useful and easy to use.,WEAR – A wearer of this device would be keeping to the social norms we need to stick to.,WEAR –This device might be considered disfiguring to its wearer.,WEAR – This device seems creepy.,WEAR – This device seems like 'too much' technology.,WEAR – This device might restrict movement or physically get in the way.,WEAR – This device is fashionable.,"WEAR – This device seems comfortable, not bulky.",WEAR – The wearer of this device could be considered rude.,WEAR – This device symbolizes something undesirable.,WEAR – This device is cool.,WEAR – I can imagine that people would be interested in this device and would not have a problem wearing it.,"WEAR – This device is sleek, not clunky.",WEAR – This device could help people.,WEAR – This device would be generally accepted by the vast majority of people.,WEAR – This device is not weird.,WEAR – The wearer of this device would not be judged negatively by others.,WEAR – This device is similar to existing acceptable devices or accessories.,WEAR – Wearing this device could be considered inappropriate. ,WEAR – This device could be considered a normal part of life.,WEAR – Use of this device could hurt the wearer's social reputation.,WEAR – This device would be distracting when driving.,WEAR – This device seems fairly common.,WEAR – Use of this device raises privacy issues,WEAR – There is no chance of being ridiculed when wearing this device,WEAR – Use of this device would be more threatening than exciting.,WEAR – This device is stylish.,WEAR – This device's placement on the body could cause awkwardness or embarrassment.,"WEAR – Wearing this device would cause no reaction, or a neutral reaction, from other people.",WEAR – This device is goofy.,WEAR – This device would enhance the wearer's image.,WEAR – The wearer of this device would get a positive reaction from others.,WEAR – This device is aesthetically pleasing.,WEAR – People would not be offended by the wearing of this device.  ,WEAR – This device seems like it would be annoying or add confusion to the typical interactions of people. ,WEAR – The majority of people probably think this device is OK to wear in public.,SUS – I think that I would like to use this product frequently.,SUS – I found the product unnecessarily complex.,SUS – I thought the product was easy to use.,SUS – I think that I would need the support of a technical person to be able to use  this product.,SUS – I found the various functions in this product were well integrated.,SUS – I thought there was too much inconsistency in this product.,SUS – I would imagine that most people would learn to use this product very quickly.  ,SUS – I found the product very cumbersome to use.,SUS – I felt very confident using the product.,SUS – I needed to learn a lot of things before I could get going with this product.,ACCEPTANCE – Overall I think information technology brings about some benefits.,ACCEPTANCE – I think information technology is indispensable today.,ACCEPTANCE – I constantly have to deal with information technology.,"ACCEPTANCE – When I have to use some information and communication technology, I fear that I will break it or make irreversible mistakes.",ACCEPTANCE – Most issues connected to technology are difficult for me.,ACCEPTANCE – The possibility of using a device or a technology that I have never used makes me feel anxious.,ACCEPTANCE – The device would be incompatible with most aspects of my day-to-day activities.,ACCEPTANCE – The device limits the way in which I like to perform my day-to-day activities.,ACCEPTANCE – It seems easy to learn how to use the device.,ACCEPTANCE – It seems tiresome to use the device.,ACCEPTANCE – I think I would use the device only if I were forced to. ,"ACCEPTANCE – If most people in my environment use the device, I would be more inclined to use it as well.",ACCEPTANCE – I think that privacy breaches are a serious issue today.,ACCEPTANCE – I think that the device threatens my privacy.,ACCEPTANCE – I think the device was pleasant.,ACCEPTANCE – I think using the device was annoying.,ACCEPTANCE – I think the device was boring.,ACCEPTANCE – I think the device was comfortable.,ACCEPTANCE – I think the device is well suited to my body.,ACCEPTANCE – Wearing the components feels weird physically.,IMI – While I was working on the task I was thinking about how much I enjoyed it.,IMI – I did not feel at all nervous about doing the task.,IMI – I felt that it was my choice to do the task.,IMI – I found the task very interesting.,IMI – I felt tense while doing the task.,IMI – Doing the task was fun.,IMI – I felt relaxed while doing the task.,IMI – I enjoyed doing the task very much.,IMI – I didn't really have a choice about doing the task.,IMI – I was anxious while doing the task.,IMI – I thought the task was very boring.,IMI – I felt like I was doing what I wanted to do while I was working on the task.,IMI – I thought the task was very interesting,IMI – I felt pressured while doing the task.,IMI – I felt like I had to do the task.,IMI – I would describe the task as very enjoyable.,IMI – I did the task because I had no choice.,"IMI – After working at this task for awhile, I felt pretty competent."
P01,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Agree,Somewhat agree,Disagree,Somewhat agree,Neither agree or disagree,Agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Somewhat disagree,Neither agree or disagree,Somewhat disagree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Somewhat disagree,Disagree,Agree,Somewhat disagree,Agree,Disagree,Agree,Disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Neither agree or disagree,Disagree,Somewhat agree
P02,Neither agree or disagree,Disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,Neither agree or disagree,Agree,Somewhat agree,Disagree,Somewhat disagree,Agree,Strongly disagree,Neither agree or disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Disagree,Agree,Neither agree or disagree,Agree,Somewhat disagree,Neither agree or disagree,Disagree,Somewhat agree,Agree,Agree,Somewhat agree,Neither agree or disagree,Agree,Agree,Disagree,Somewhat disagree,Somewhat agree,Neither agree or disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Agree,Somewhat agree,Neither agree or disagree,Disagree,Somewhat disagree,Neither agree or disagree,Somewhat disagree,Disagree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Somewhat disagree,Disagree,Disagree,Somewhat disagree,Strongly disagree,Agree
P03,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Agree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Neither agree or disagree,Somewhat agree,Disagree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat disagree,Disagree,Disagree,Somewhat disagree,Disagree,Disagree,Agree,Disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Agree,Agree,Disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Disagree,Neither agree or disagree,Disagree,Somewhat agree
P06,Neither agree or disagree,Disagree,Disagree,Disagree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Neither agree or disagree,Somewhat disagree,Somewhat disagree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Agree,Disagree,Agree,Somewhat disagree,Neither agree or disagree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat agree,Neither agree or disagree,Disagree,Somewhat agree,Somewhat disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Agree,Neither agree or disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Disagree,Disagree,Agree,Disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,Somewhat disagree,Agree,Neither agree or disagree,Disagree,Disagree,Disagree,Disagree,Somewhat agree
P08,Disagree,Disagree,Disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Somewhat disagree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Strongly disagree,Disagree,Somewhat agree,Disagree,Agree,Disagree,Somewhat agree,Somewhat agree,Disagree,Strongly disagree,Agree,Agree,Agree,Somewhat agree,Disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Disagree,Disagree,Agree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat disagree,Strongly disagree,Disagree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Disagree,Disagree,Somewhat disagree,Strongly disagree,Somewhat agree
P09,Somewhat disagree,Disagree,Neither agree or disagree,Agree,Somewhat agree,Somewhat agree,Agree,Disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Neither agree or disagree,Disagree,Somewhat disagree,Disagree,Neither agree or disagree,Somewhat agree,Disagree,Agree,Somewhat disagree,Somewhat agree,Neither agree or disagree,Agree,Somewhat agree,Agree,Disagree,Somewhat agree,Somewhat disagree,Disagree,Disagree,Disagree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Somewhat disagree,Disagree,Neither agree or disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Disagree,Disagree,Strongly agree,Disagree,Somewhat agree,Disagree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Agree,Strongly agree,Agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Disagree,Strongly agree,Disagree,Somewhat disagree,Agree,Neither agree or disagree,Somewhat disagree,Disagree,Agree,Disagree,Disagree,Strongly agree,Somewhat agree,Disagree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Disagree,Disagree,Neither agree or disagree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Somewhat agree,Disagree,Strongly agree
P05,Somewhat disagree,Disagree,Somewhat agree,Disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Disagree,Agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree or disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Disagree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree or disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Strongly disagree,Neither agree or disagree,Strongly disagree,Agree
P13,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Disagree,Agree,Agree,Neither agree or disagree,Somewhat disagree,Somewhat disagree,Neither agree or disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree or disagree,Somewhat disagree,Agree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat agree,Disagree,Agree,Disagree,Agree,Disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Somewhat disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Neither agree or disagree,Agree,Agree,Somewhat disagree,Somewhat disagree,Agree,Disagree,Neither agree or disagree,Agree,Somewhat agree,Disagree,Somewhat disagree,Agree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Somewhat agree
P12,Somewhat agree,Disagree,Disagree,Disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Agree,Disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Neither agree or disagree,Agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Disagree,Neither agree or disagree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Agree,Disagree,Somewhat agree,Disagree,Agree,Somewhat disagree,Neither agree or disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Agree,Neither agree or disagree,Strongly agree,Somewhat disagree,Disagree,Agree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Agree,Strongly disagree,Somewhat disagree,Strongly agree,Neither agree or disagree,Disagree,Somewhat agree,Somewhat agree,Disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Strongly disagree,Somewhat disagree,Disagree,Somewhat agree
P15,Agree,Somewhat agree,Agree,Agree,Neither agree or disagree,Agree,Somewhat agree,Neither agree or disagree,Disagree,Disagree,Disagree,Neither agree or disagree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Disagree,Neither agree or disagree,Somewhat disagree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Agree,Disagree,Agree,Somewhat agree,Disagree,Agree,Somewhat disagree,Agree,Disagree,Agree,Disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Somewhat agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat agree,Disagree,Agree
P16,Somewhat disagree,Agree,Somewhat disagree,Strongly disagree,Strongly agree,Disagree,Agree,Somewhat agree,Neither agree or disagree,Disagree,Somewhat agree,Disagree,Somewhat agree,Neither agree or disagree,Agree,Disagree,Disagree,Disagree,Neither agree or disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Somewhat agree,Disagree,Somewhat agree,Disagree,Strongly agree,Somewhat disagree,Agree,Disagree,Somewhat disagree,Disagree,Somewhat agree,Disagree,Agree,Disagree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Strongly agree,Somewhat agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Disagree,Strongly agree,Neither agree or disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Disagree
P07 ,Agree,Disagree,Disagree,Somewhat disagree,Neither agree or disagree,Agree,Agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Disagree,Somewhat agree,Neither agree or disagree,Agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Somewhat disagree,Somewhat agree,Agree,Disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Somewhat agree,Disagree,Disagree,Disagree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Agree,Agree,Neither agree or disagree,Disagree,Agree,Disagree,Disagree,Agree,Neither agree or disagree,Disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Agree,Agree,Somewhat agree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Strongly disagree,Disagree,Neither agree or disagree,Agree,Somewhat agree,Strongly disagree,Disagree,Somewhat disagree,Strongly disagree,Agree
P17,Agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Disagree,Somewhat agree,Strongly disagree,Disagree,Neither agree or disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Neither agree or disagree,Agree,Somewhat agree,Agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Agree,Somewhat agree,Disagree,Neither agree or disagree,Disagree,Strongly disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree
P04,Somewhat agree,Disagree,Somewhat disagree,Disagree,Agree,Agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree or disagree,Disagree,Agree,Somewhat disagree,Neither agree or disagree,Somewhat disagree,Disagree,Agree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Disagree,Somewhat agree,Agree,Neither agree or disagree,Somewhat agree,Disagree,Agree,Disagree,Neither agree or disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Disagree,Disagree,Somewhat agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Agree,Somewhat agree,Disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Agree,Strongly agree,Somewhat agree,Somewhat disagree,Agree,Disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Agree,Strongly disagree,Neither agree or disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree or disagree,Strongly agree,Neither agree or disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree or disagree
P23,Somewhat agree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Neither agree or disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Neither agree or disagree,Strongly disagree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Disagree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Somewhat disagree,Neither agree or disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Disagree,Somewhat agree,Neither agree or disagree,Disagree,Disagree,Somewhat disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Neither agree or disagree,Disagree,Agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,Agree
P25,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Disagree,Disagree,Disagree,Neither agree or disagree,Somewhat disagree,Strongly disagree,Neither agree or disagree,Strongly disagree,Agree,Somewhat agree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Somewhat disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Disagree,Somewhat agree,Disagree,Agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Disagree,Neither agree or disagree,Somewhat agree,Somewhat disagree,Disagree,Disagree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Agree,Agree,Somewhat agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Neither agree or disagree,Strongly disagree,Agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Disagree,Disagree,Neither agree or disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree
P29,Agree,Somewhat agree,Disagree,Disagree,Somewhat disagree,Agree,Agree,Strongly disagree,Somewhat agree,Neither agree or disagree,Strongly disagree,Disagree,Somewhat agree,Disagree,Disagree,Disagree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Neither agree or disagree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Neither agree or disagree,Agree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Somewhat agree,Somewhat disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Disagree,Neither agree or disagree,Disagree,Somewhat disagree,Somewhat agree,Neither agree or disagree,Agree,Somewhat disagree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree
P35,Somewhat agree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Somewhat disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Agree,Somewhat agree,Agree,Neither agree or disagree,Strongly agree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree